0,0
100,0.0182
200,0.0363
300,0.0544
400,0.0725
500,0.0906
600,0.109
700,0.127
800,0.145
900,0.163
1000,0.181
1100,0.199
1200,0.217
1300,0.235
1400,0.253
1500,0.272
1600,0.29
1700,0.308
1800,0.326
1900,0.344
2000,0.362
2100,0.381
2200,0.402
2300,0.423
2400,0.443
2500,0.464
2600,0.485
2700,0.505
2800,0.526
2900,0.547
3000,0.568
3100,0.589
3200,0.609
3300,0.63
3400,0.651
3500,0.672
3600,0.693
3700,0.716
3800,0.744
3900,0.772
4000,0.801
4100,0.829
4200,0.858
4300,0.886
4400,0.915
4500,0.943
4600,0.972
4700,1
4800,1.03
4900,1.06
5000,1.09
5100,1.11
5200,1.14
5300,1.17
5400,1.2
5500,1.23
5600,1.26
5700,1.28
5800,1.31
5900,1.34
6000,1.37
6100,1.4
6200,1.43
6300,1.46
6400,1.48
6500,1.51
6600,1.54
6700,1.57
6800,1.6
6900,1.63
7000,1.66
7100,1.68
7200,1.71
7300,1.74
7400,1.77
7500,1.8
7600,1.83
7700,1.86
7800,1.88
7900,1.91
8000,1.94
8100,1.97
8200,2
8300,2.03
8400,2.06
8500,2.09
8600,2.12
8700,2.14
8800,2.17
8900,2.2
9000,2.23
9100,2.26
9200,2.29
9300,2.32
9400,2.35
9500,2.38
9600,2.41
9700,2.43
9800,2.46
9900,2.49
10000,2.52
